Recording_ID,Latitude,Longitude,Source,Species,Recordist,Date
15275,39.83099248,-104.8664869,ML,Eastern Towhee,Arthur A. Allen,5/18/1954
15276,42.30735698,-76.48113821,ML,Eastern Towhee,Peter Paul Kellogg,7/15/1951
15277,41.97143846,-82.5357966,ML,Eastern Towhee,Robert C. Stein,6/11/1953
15278,42.48010502,-76.4499992,ML,Eastern Towhee,Robert C. Stein,5/6/1953
15281,42.48010502,-76.4499992,ML,Eastern Towhee,Arthur A. Allen,6/12/1951
15283,25.72546689,-80.2591454,ML,Eastern Towhee,Peter Paul Kellogg,4/13/1950
15284,30.44168733,-84.28809827,ML,Eastern Towhee,Peter Paul Kellogg,5/18/1950
15285,39.80157303,-83.89507575,ML,Eastern Towhee,Robert C. Stein,4/26/1956
15296,42.45793016,-76.31829474,ML,Eastern Towhee,Robert C. Stein,7/8/1960
15300,42.48010502,-76.4499992,ML,Eastern Towhee,Robert C. Stein,7/5/1960
15312,39.49689395,-79.41928452,ML,Eastern Towhee,Robert C. Stein,6/23/1961
15318,38.52319458,-78.39718644,ML,Eastern Towhee,Robert C. Stein,5/9/1962
15320,38.20398563,-80.26662696,ML,Eastern Towhee,Robert C. Stein,5/12/1962
15322,30.72939794,-84.14296315,ML,Eastern Towhee,Randolph Little,3/31/1962
15323,42.48010502,-76.4499992,ML,Eastern Towhee,Randolph Little,6/20/1962
15326,38.61199908,-79.8720708,ML,Eastern Towhee,Robert C. Stein,5/15/1962
15327,32.3333333,-80.6666667,ML,Eastern Towhee,Marian P. McChesney,4/26/1960
15328,32.4166667,-80.6666667,ML,Eastern Towhee,Marian P. McChesney,5/7/1961
15329,25.52333673,-80.49524713,ML,Eastern Towhee,Robert C. Stein,4/26/1963
15333,25.9430208,-81.71405373,ML,Eastern Towhee,Robert C. Stein,4/28/1963
15335,42.48066313,-76.44987186,ML,Eastern Towhee,Robert C. Stein,5/7/1964
15336,42.30605833,-76.48867268,ML,Eastern Towhee,Robert C. Stein,5/11/1964
15337,42.30652131,-76.48867268,ML,Eastern Towhee,Robert C. Stein,5/11/1969
15338,42.48066313,-76.44987186,ML,Eastern Towhee,Robert C. Stein,5/12/1964
15339,42.48066313,-76.44987186,ML,Eastern Towhee,Robert C. Stein,5/24/1963
15340,40.13248017,-75.42671435,ML,Eastern Towhee,Robert C. Stein,4/24/1960
15341,32.4166667,-80.6666667,ML,Eastern Towhee,Marian P. McChesney,NA        
15343,39.44314167,-82.46125431,ML,Eastern Towhee,Randolph Little,4/12/1964
15347,40.37480765,-75.96331033,ML,Eastern Towhee,Jon C. Glase,6/19/1966
15349,42.38899203,-76.6691157,ML,Eastern Towhee,L. Virginia Engelhard,5/29/1971
15351,32.46919804,-80.71049377,ML,Eastern Towhee,Douglas L. Welch,4/29/1971
26227,39.8833333,-82.8,ML,Eastern Towhee,Randolph Little,5/4/1975
26774,36.11038533,-82.11091634,ML,Eastern Towhee,Margery R. Plymire,6/14/1979
26786,36.11374028,-81.81156132,ML,Eastern Towhee,Margery R. Plymire,6/27/1979
26797,26.4679221,-82.11402499,ML,Eastern Towhee,Margery R. Plymire,3/31/1980
27300,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/16/1972
27316,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/17/1972
27329,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/18/1972
27333,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/19/1972
27336,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/21/1972
27337,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/22/1972
27369,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/26/1972
27372,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/27/1972
27373,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/23/1972
27374,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/28/1972
27378,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,5/29/1972
27388,40.7709151,-73.1553978,ML,Eastern Towhee,David  Ewert,6/2/1972
27394,40.7709151,-73.1553978,ML,Eastern Towhee,Jon S. Greenlaw,6/2/1972
27400,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,6/6/1972
27401,40.8333333,-73.3333333,ML,Eastern Towhee,David  Ewert,6/11/1972
