Recording_ID,Latitude,Longitude,bout_duration_ms,num_syllables,num_syllable_per_bout_duration_1_ms,largest_syllable_duration_ms,smallest_syllable_duration_ms,avg_syllable_duration_ms,num_unique_syllables,num_syllables_per_num_unique,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,Species,Source
15275,39.83099248,-104.8664869,1201.269841,8,0.006659619,128.2539683,52.38095238,75.91269841,4,2,3255.921053,2487.609649,5028.947368,2020.175439,3051.754386,1977.192982,257.8947368,811.2938596,Pipilo erythrophthalmus,ML
15276,42.30735698,-76.48113821,1098.095238,6,0.005464007,334.6031746,33.96825397,131.3227513,3,2,5996.052632,2629.093567,6877.192982,2278.070175,4642.105263,3997.368421,2707.894737,3409.94152,Pipilo erythrophthalmus,ML
15277,41.97143846,-82.5357966,1019.68254,10,0.009806974,254.9206349,42.22222222,66.38095238,2,5,5390,2518.77193,5845.614035,1977.192982,3911.403509,3438.596491,1547.368421,2914.210526,Pipilo erythrophthalmus,ML
15278,42.48010502,-76.4499992,1312.380952,10,0.007619739,432.0634921,39.68253968,83.84126984,2,5,6731.052632,2995.877193,7135.087719,2793.859649,4384.210526,4384.210526,2836.842105,3778.157895,Pipilo erythrophthalmus,ML
15281,42.48010502,-76.4499992,1364.126984,9,0.006597626,278.4126984,30.15873016,110.6525573,4,2.25,4780.604288,3027.875244,5286.842105,1934.210526,3395.614035,2450,730.7017544,1795.711501,Pipilo erythrophthalmus,ML
15283,25.72546689,-80.2591454,752.6984127,3,0.00398566,193.3333333,136.8253968,156.0846561,3,1,4498.830409,3094.736842,6447.368421,1633.333333,4857.017544,1805.263158,1203.508772,1447.076023,Pipilo erythrophthalmus,ML
15284,30.44168733,-84.28809827,1152.063492,8,0.006944062,210.7936508,82.85714286,101.7857143,2,4,5152.52193,3019.517544,5587.719298,2836.842105,2793.859649,2321.052632,1805.263158,2175.986842,Pipilo erythrophthalmus,ML
15285,39.80157303,-83.89507575,1452.063492,9,0.006198076,269.5238095,61.58730159,121.9400353,3,3,5984.11306,2450,12164.03509,2321.052632,9885.964912,9628.070175,558.7719298,3577.095517,Pipilo erythrophthalmus,ML
15296,42.45793016,-76.31829474,587.6190476,4,0.006807131,136.5079365,104.4444444,123.6507937,1,4,5405.04386,2149.122807,5458.77193,1891.22807,3610.526316,3610.526316,2535.964912,3298.903509,Pipilo erythrophthalmus,ML
15300,42.48010502,-76.4499992,1443.174603,15,0.010393753,274.9206349,38.73015873,65.62962963,5,3,4882.807018,2361.169591,5372.807018,1590.350877,3825.438596,3094.736842,1074.561404,2564.619883,Pipilo erythrophthalmus,ML
