COMMON NAME,LATITUDE,LONGITUDE,COUNTY CODE,OBSERVATION DATE,MONTH,COUNTRY CODE,STATE,STATE CODE,COUNTY,LOCALITY,LOCALITY ID,OBSERVER ID,GLOBAL UNIQUE IDENTIFIER
Spotted x Eastern Towhee (hybrid),36.2217065,-100.646205,US-TX-357,1/24/01,1,US,Texas,US-TX,Ochiltree,Wolf Creek Pk / Lake Fryer (PHP 052),L329802,obsr34603,URN:CornellLabOfOrnithology:EBIRD:OBS79677368
Spotted x Eastern Towhee (hybrid),30.418809,-97.157266,US-TX-287,1/4/07,1,US,Texas,US-TX,Lee,"Hugh Brown Sanctuary (private) (Blue, Lee Co.)",L7211741,obsr1071676,URN:CornellLabOfOrnithology:EBIRD:OBS644916284
Spotted x Eastern Towhee (hybrid),38.0694008,-102.615097,US-CO-099,1/31/13,1,US,Colorado,US-CO,Prowers,Lamar Community College,L140471,obsr88773,URN:CornellLabOfOrnithology:EBIRD:OBS179658868
Spotted x Eastern Towhee (hybrid),38.0279938,-98.1045468,US-KS-155,1/6/15,1,US,Kansas,US-KS,Reno,Salt Creek on Pack's Land,L1446710,obsr291748,URN:CornellLabOfOrnithology:EBIRD:OBS289535348
Spotted x Eastern Towhee (hybrid),35.2110106,-97.2423554,US-OK-027,1/2/16,1,US,Oklahoma,US-OK,Cleveland,Little River SP,L1433920,obsr432174,URN:CornellLabOfOrnithology:EBIRD:OBS362815098
Spotted x Eastern Towhee (hybrid),30.709279,-97.459781,US-TX-491,1/19/17,1,US,Texas,US-TX,Williamson,US-TX-Granger-1666-1698 County Road 336 - 30.7093x-97.4598,L5280169,obsr424326,URN:CornellLabOfOrnithology:EBIRD:OBS458817107
Spotted x Eastern Towhee (hybrid),30.1574845,-99.34811,US-TX-265,1/20/17,1,US,Texas,US-TX,Kerr,Heart of the Hills Fisheries Ctr. (HOTW 069),L723603,obsr335287,URN:CornellLabOfOrnithology:EBIRD:OBS459845859
Spotted x Eastern Towhee (hybrid),31.2180499,-97.5116444,US-TX-027,1/27/17,1,US,Texas,US-TX,Bell,Belton Lake--Owl Creek Park / WMA,L627578,obsr324113,URN:CornellLabOfOrnithology:EBIRD:OBS460856646
Spotted x Eastern Towhee (hybrid),29.5502272,-98.2325739,US-TX-029,1/27/18,1,US,Texas,US-TX,Bexar,Crescent Bend Nature Park (Bexar Co.),L783521,obsr145522,URN:CornellLabOfOrnithology:EBIRD:OBS571681759
Spotted x Eastern Towhee (hybrid),32.9660431,-97.093606,US-TX-439,1/1/19,1,US,Texas,US-TX,Tarrant,Grapevine Lake--Oak Grove Pk,L607563,obsr849719,URN:CornellLabOfOrnithology:EBIRD:OBS692149779
Spotted x Eastern Towhee (hybrid),34.9101471,-102.1138,US-TX-381,1/3/20,1,US,Texas,US-TX,Randall,Buffalo Lake NWR (PHP 039),L297765,obsr169815,URN:CornellLabOfOrnithology:EBIRD:OBS846249763
Spotted x Eastern Towhee (hybrid),34.7319095,-98.7232991,US-OK-031,1/3/21,1,US,Oklahoma,US-OK,Comanche,Wichita Mtns Wildlife Refuge--Sunset Picnic Area,L275821,obsr918426,URN:CornellLabOfOrnithology:EBIRD:OBS1045793692
Spotted x Eastern Towhee (hybrid),35.1640238,-97.4420526,US-OK-027,1/10/21,1,US,Oklahoma,US-OK,Cleveland,South Jenkins Ave.,L1488818,obsr339442,URN:CornellLabOfOrnithology:EBIRD:OBS1048772998
Spotted x Eastern Towhee (hybrid),38.9829705,-95.331381,US-KS-045,1/5/22,1,US,Kansas,US-KS,Douglas,Rock Chalk Park,L14680068,obsr2470627,URN:CornellLabOfOrnithology:EBIRD:OBS1311772756
Spotted x Eastern Towhee (hybrid),42.122136,-88.355852,US-IL-089,1/7/22,1,US,Illinois,US-IL,Kane,"Binnie Forest Preserve, Carpentersville US-IL 42.12214, -88.35585",L16100983,obsr1226581,URN:CornellLabOfOrnithology:EBIRD:OBS1313444260
Spotted x Eastern Towhee (hybrid),42.1232461,-88.3570719,US-IL-089,1/8/22,1,US,Illinois,US-IL,Kane,Binnie Forest Preserve,L494661,obsr756307,URN:CornellLabOfOrnithology:EBIRD:OBS1313674285
Spotted x Eastern Towhee (hybrid),31.2437747,-97.6162391,US-TX-099,1/12/22,1,US,Texas,US-TX,Coryell,Fort Hood--East Range (Coryell Co.)(Limited access),L8808815,obsr97148,URN:CornellLabOfOrnithology:EBIRD:OBS1316961383
Spotted x Eastern Towhee (hybrid),41.809445,-88.399525,US-IL-089,1/23/22,1,US,Illinois,US-IL,Kane,Lake Run Forest Preserve,L17474850,obsr137365,URN:CornellLabOfOrnithology:EBIRD:OBS1325779543
Spotted x Eastern Towhee (hybrid),31.2974013,-97.4925041,US-TX-099,1/30/22,1,US,Texas,US-TX,Coryell,Belton Lake--Horseshoe Bend WMA (Coryell Co.),L777942,obsr194146,URN:CornellLabOfOrnithology:EBIRD:OBS1330486763
Spotted x Eastern Towhee (hybrid),33.3771344,-99.8441423,US-TX-207,1/1/23,1,US,Texas,US-TX,Haskell,"1012 Grand Central Avenue, O'Brien, Texas, US (33.377, -99.844)",L22010503,obsr167655,URN:CornellLabOfOrnithology:EBIRD:OBS1594701152
Spotted x Eastern Towhee (hybrid),30.4451176,-99.7978554,US-TX-267,1/3/23,1,US,Texas,US-TX,Kimble,South Llano River SP--Juniper blind,L9101671,obsr697104,URN:CornellLabOfOrnithology:EBIRD:OBS1597144989
Spotted x Eastern Towhee (hybrid),39.6176233,-104.8378301,US-CO-005,1/7/23,1,US,Colorado,US-CO,Arapahoe,Cherry Creek SP--Railroad Bed Trail,L6800283,obsr191490,URN:CornellLabOfOrnithology:EBIRD:OBS1623842134
Spotted x Eastern Towhee (hybrid),31.151836,-97.5717688,US-TX-027,1/29/23,1,US,Texas,US-TX,Bell,"Cowhouse Creek arm, Belton Lake, west of BLORA",L5465141,obsr324113,URN:CornellLabOfOrnithology:EBIRD:OBS1618618424
Spotted x Eastern Towhee (hybrid),32.7958331,-97.4864852,US-TX-439,2/25/03,2,US,Texas,US-TX,Tarrant,Lake Worth - mouth of Live Oak Creek,L2899589,obsr338409,URN:CornellLabOfOrnithology:EBIRD:OBS270537034
Spotted x Eastern Towhee (hybrid),37.3161136,-93.2148743,US-MO-077,2/10/12,2,US,Missouri,US-MO,Greene,Fellows Lake,L1018947,obsr228101,URN:CornellLabOfOrnithology:EBIRD:OBS139937140
Spotted x Eastern Towhee (hybrid),38.0689737,-102.6148796,US-CO-099,2/22/13,2,US,Colorado,US-CO,Prowers,Willow Creek,L499874,obsr112083,URN:CornellLabOfOrnithology:EBIRD:OBS183588656
Spotted x Eastern Towhee (hybrid),39.9897488,-105.1752338,US-CO-013,2/27/13,2,US,Colorado,US-CO,Boulder,Lafayette: Brockway Drive,L1889910,obsr234797,URN:CornellLabOfOrnithology:EBIRD:OBS183660184
Spotted x Eastern Towhee (hybrid),30.6962518,-97.8277625,US-TX-491,2/15/14,2,US,Texas,US-TX,Williamson,Tejas Camp (Williamson Co.) (HOTE 030),L275258,obsr768899,URN:CornellLabOfOrnithology:EBIRD:OBS412337744
Spotted x Eastern Towhee (hybrid),34.7243768,-98.7028187,US-OK-031,2/13/15,2,US,Oklahoma,US-OK,Comanche,Wichita Mtns Wildlife Refuge--French Lake,L322574,obsr211537,URN:CornellLabOfOrnithology:EBIRD:OBS296641553
Spotted x Eastern Towhee (hybrid),35.6255727,-97.382791,US-OK-109,2/16/15,2,US,Oklahoma,US-OK,Oklahoma,Arcadia Conservation Education Area,L1433922,obsr189879,URN:CornellLabOfOrnithology:EBIRD:OBS298846133
Spotted x Eastern Towhee (hybrid),32.9985862,-96.6341972,US-TX-085,2/23/15,2,US,Texas,US-TX,Collin,Richardson- Breckenridge Park,L385293,obsr381807,URN:CornellLabOfOrnithology:EBIRD:OBS299400199
Spotted x Eastern Towhee (hybrid),27.952387,-97.672531,US-TX-409,2/28/15,2,US,Texas,US-TX,San Patricio,"27.9524x-97.6725 - Feb 28, 2015, 9:08 AM",L3444916,obsr338409,URN:CornellLabOfOrnithology:EBIRD:OBS300195987
Spotted x Eastern Towhee (hybrid),29.6154972,-98.6301361,US-TX-029,2/26/17,2,US,Texas,US-TX,Bexar,Crownridge Canyon NA,L390962,obsr59645,URN:CornellLabOfOrnithology:EBIRD:OBS470739107
Spotted x Eastern Towhee (hybrid),32.2316256,-99.8920619,US-TX-441,2/1/19,2,US,Texas,US-TX,Taylor,Lake Abilene,L481859,obsr160496,URN:CornellLabOfOrnithology:EBIRD:OBS1218158297
Spotted x Eastern Towhee (hybrid),30.686157,-97.780253,US-TX-491,2/8/20,2,US,Texas,US-TX,Williamson,Walnut Camp,L10703572,obsr89319,URN:CornellLabOfOrnithology:EBIRD:OBS861566464
Spotted x Eastern Towhee (hybrid),43.1103042,-71.9156456,US-NH-011,2/16/20,2,US,New Hampshire,US-NH,Hillsborough,"Shaw's, Hillsborough",L3557522,obsr577535,URN:CornellLabOfOrnithology:EBIRD:OBS865192944
Spotted x Eastern Towhee (hybrid),30.3592119,-97.7832556,US-TX-453,2/13/21,2,US,Texas,US-TX,Travis,Yard - Northwest Hills,L566357,obsr50412,URN:CornellLabOfOrnithology:EBIRD:OBS1072579017
Spotted x Eastern Towhee (hybrid),40.754881,-73.996915,US-NY-061,2/15/21,2,US,New York,US-NY,New York,Hudson Yards (30th-41st St.; 8th-11th Ave.),L9019612,obsr1072870,URN:CornellLabOfOrnithology:EBIRD:OBS1075565175
Spotted x Eastern Towhee (hybrid),40.7556359,-74.0005347,US-NY-061,2/21/21,2,US,New York,US-NY,New York,Bella Abzug Park,L9405284,obsr512651,URN:CornellLabOfOrnithology:EBIRD:OBS1080028236
Spotted x Eastern Towhee (hybrid),37.6358986,-102.5381012,US-CO-009,2/4/22,2,US,Colorado,US-CO,Baca,Two Buttes SWA (as a whole),L140457,obsr224802,URN:CornellLabOfOrnithology:EBIRD:OBS1334619433
Spotted x Eastern Towhee (hybrid),30.9571033,-97.4934241,US-TX-027,2/4/22,2,US,Texas,US-TX,Bell,Salado Yard,L6505529,obsr422245,URN:CornellLabOfOrnithology:EBIRD:OBS1335637530
Spotted x Eastern Towhee (hybrid),34.0278449,-98.2511863,US-TX-077,2/27/22,2,US,Texas,US-TX,Clay,Petrolia Lake Number 1,L12962363,obsr18543,URN:CornellLabOfOrnithology:EBIRD:OBS1353937051
Spotted x Eastern Towhee (hybrid),32.8341592,-96.7273235,US-TX-113,2/2/23,2,US,Texas,US-TX,Dallas,White Rock Lake--West Lawther Drive area,L3079748,obsr16674,URN:CornellLabOfOrnithology:EBIRD:OBS1621377406
Spotted x Eastern Towhee (hybrid),33.921437,-98.468556,US-TX-485,2/4/23,2,US,Texas,US-TX,Wichita,"76301, Wichita Falls US-TX 33.92144, -98.46856",L22460674,obsr178014,URN:CornellLabOfOrnithology:EBIRD:OBS1622817861
Spotted x Eastern Towhee (hybrid),30.573425,-96.3649889,US-TX-041,2/26/23,2,US,Texas,US-TX,Brazos,Texas A&M Univ.--Ecology & Natural Resource area,L7493616,obsr1530367,URN:CornellLabOfOrnithology:EBIRD:OBS1643037021
Spotted x Eastern Towhee (hybrid),30.4723856,-99.7834969,US-TX-267,3/7/10,3,US,Texas,US-TX,Kimble,Llano River Biological Research Station,L894451,obsr148204,URN:CornellLabOfOrnithology:EBIRD:OBS87119639
Spotted x Eastern Towhee (hybrid),35.2324749,-97.2394967,US-OK-027,3/1/14,3,US,Oklahoma,US-OK,Cleveland,Lake Thunderbird SP--Alameda Dr. & Indian Point Rd.,L2805890,obsr305807,URN:CornellLabOfOrnithology:EBIRD:OBS239708960
Spotted x Eastern Towhee (hybrid),30.5838715,-96.3002486,US-TX-041,3/22/14,3,US,Texas,US-TX,Brazos,Brothers Pond Park,L1747923,obsr216742,URN:CornellLabOfOrnithology:EBIRD:OBS241062617
Spotted x Eastern Towhee (hybrid),29.8939824,-98.3503774,US-TX-091,3/7/15,3,US,Texas,US-TX,Comal,Campfire,L1782407,obsr339672,URN:CornellLabOfOrnithology:EBIRD:OBS301514283
Spotted x Eastern Towhee (hybrid),30.3834554,-97.8517178,US-TX-453,3/2/17,3,US,Texas,US-TX,Travis,Brittlyns Ct.,L1519073,obsr304242,URN:CornellLabOfOrnithology:EBIRD:OBS474017694
Spotted x Eastern Towhee (hybrid),31.607359,-97.3040521,US-TX-309,3/12/18,3,US,Texas,US-TX,McLennan,Lake Waco Wetlands (PPW-W 028),L392281,obsr58722,URN:CornellLabOfOrnithology:EBIRD:OBS587183770
Spotted x Eastern Towhee (hybrid),35.6864397,-97.5063129,US-OK-109,3/18/18,3,US,Oklahoma,US-OK,Oklahoma,Mitch Park,L357151,obsr617631,URN:CornellLabOfOrnithology:EBIRD:OBS589140982
Spotted x Eastern Towhee (hybrid),40.6567533,-98.9708688,US-NE-099,3/14/19,3,US,Nebraska,US-NE,Kearney,"61 Summer Haven, Airbnb",L8835938,obsr181250,URN:CornellLabOfOrnithology:EBIRD:OBS725274797
Spotted x Eastern Towhee (hybrid),31.2144898,-99.8571396,US-TX-095,3/17/19,3,US,Texas,US-TX,Concho,Lee Pfluger Park,L6155694,obsr20725,URN:CornellLabOfOrnithology:EBIRD:OBS725645372
Spotted x Eastern Towhee (hybrid),39.7563593,-92.5144121,US-MO-121,3/19/19,3,US,Missouri,US-MO,Macon,Long Branch Lake and SP,L273251,obsr557151,URN:CornellLabOfOrnithology:EBIRD:OBS726745578
Spotted x Eastern Towhee (hybrid),35.228176,-97.23935,US-OK-027,3/21/20,3,US,Oklahoma,US-OK,Cleveland,"Lake Thunderbird State Park, Norman US-OK (35.2282,-97.2393)",L11012439,obsr1521834,URN:CornellLabOfOrnithology:EBIRD:OBS882489669
Spotted x Eastern Towhee (hybrid),31.7035211,-98.0836226,US-TX-193,3/13/21,3,US,Texas,US-TX,Hamilton,"City Lake,  Hamilton,TX",L6842043,obsr1720986,URN:CornellLabOfOrnithology:EBIRD:OBS1093985633
Spotted x Eastern Towhee (hybrid),31.705627,-97.035322,US-TX-309,3/21/21,3,US,Texas,US-TX,McLennan,"Janke Loop, Elm Creek crossing",L14105210,obsr58722,URN:CornellLabOfOrnithology:EBIRD:OBS1099718316
Spotted x Eastern Towhee (hybrid),37.4519754,-89.4756039,US-MO-031,3/25/21,3,US,Missouri,US-MO,Cape Girardeau,Trail of Tears SP,L251383,obsr273897,URN:CornellLabOfOrnithology:EBIRD:OBS1103189513
