COMMON NAME,LATITUDE,LONGITUDE,COUNTY CODE,OBSERVATION DATE,MONTH,COUNTRY CODE,STATE,STATE CODE,COUNTY,LOCALITY,LOCALITY ID,OBSERVER ID,GLOBAL UNIQUE IDENTIFIER
Spotted x Eastern Towhee (hybrid),43.8866957,-96.3656863,US-MN-117,4/16/05,4,US,Minnesota,US-MN,Pipestone,"Split Rock Creek State Park, Pipestone County",L6460741,obsr543162,URN:CornellLabOfOrnithology:EBIRD:OBS548459146
Spotted x Eastern Towhee (hybrid),43.030821,-89.3292332,US-WI-025,4/20/08,4,US,Wisconsin,US-WI,Dane,Lake Farm County Park,L201005,obsr98628,URN:CornellLabOfOrnithology:EBIRD:OBS52824481
Spotted x Eastern Towhee (hybrid),42.0306155,-87.8138494,US-IL-031,4/28/12,4,US,Illinois,US-IL,Cook,"Weinman yard, 8225 N Olcott, Niles, II",L3317408,obsr520784,URN:CornellLabOfOrnithology:EBIRD:OBS305070374
Spotted x Eastern Towhee (hybrid),39.3905707,-99.4430923,US-KS-163,4/29/12,4,US,Kansas,US-KS,Rooks,Webster Res.,L756025,obsr203112,URN:CornellLabOfOrnithology:EBIRD:OBS150374142
Spotted x Eastern Towhee (hybrid),39.2898801,-102.9878166,US-CO-063,4/24/13,4,US,Colorado,US-CO,Kit Carson,Flagler Reservoir SWA,L271802,obsr292335,URN:CornellLabOfOrnithology:EBIRD:OBS192509986
Spotted x Eastern Towhee (hybrid),37.9036769,-98.1827546,US-KS-155,4/5/14,4,US,Kansas,US-KS,Reno,The Miggiani place,L1364052,obsr291823,URN:CornellLabOfOrnithology:EBIRD:OBS244308853
Spotted x Eastern Towhee (hybrid),43.0333593,-89.3513775,US-WI-025,4/16/14,4,US,Wisconsin,US-WI,Dane,Nine Springs Natural Area,L199454,obsr219103,URN:CornellLabOfOrnithology:EBIRD:OBS317259365
Spotted x Eastern Towhee (hybrid),40.9026291,-98.6511048,US-NE-079,4/19/14,4,US,Nebraska,US-NE,Hall,Cameron cemetery,L1830219,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS246728152
Spotted x Eastern Towhee (hybrid),40.2576354,-99.7259474,US-NE-065,4/21/14,4,US,Nebraska,US-NE,Furnas,Oxford WMA,L608399,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS247292331
Spotted x Eastern Towhee (hybrid),40.0877906,-102.2715569,US-CO-125,4/25/16,4,US,Colorado,US-CO,Yuma,Wray Fish Hatchery,L480621,obsr234797,URN:CornellLabOfOrnithology:EBIRD:OBS394983597
Spotted x Eastern Towhee (hybrid),41.7424031,-97.7537727,US-NE-141,4/27/16,4,US,Nebraska,US-NE,Platte,Madison-Platte line at Platte 490,L2959650,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS395857075
Spotted x Eastern Towhee (hybrid),42.9396281,-87.8456685,US-WI-079,4/26/17,4,US,Wisconsin,US-WI,Milwaukee,Warnimont County Park (general),L300995,obsr328691,URN:CornellLabOfOrnithology:EBIRD:OBS490695184
Spotted x Eastern Towhee (hybrid),31.5627257,-97.2417283,US-TX-309,4/3/18,4,US,Texas,US-TX,McLennan,Lake Waco--Lacy Point area,L4095024,obsr58722,URN:CornellLabOfOrnithology:EBIRD:OBS595295026
Spotted x Eastern Towhee (hybrid),41.8825315,-69.995712,US-MA-001,4/14/18,4,US,Massachusetts,US-MA,Barnstable,Wellfleet Bay Wildlife Sanctuary (Mass Audubon),L207462,obsr34603,URN:CornellLabOfOrnithology:EBIRD:OBS601390392
Spotted x Eastern Towhee (hybrid),40.7792416,-96.6330814,US-NE-109,4/21/18,4,US,Nebraska,US-NE,Lancaster,Holmes Lake,L715981,obsr719696,URN:CornellLabOfOrnithology:EBIRD:OBS603353998
Spotted x Eastern Towhee (hybrid),30.7112008,-97.7225774,US-TX-491,4/4/19,4,US,Texas,US-TX,Williamson,Sun City—Legacy Hills Park (restricted access),L1354160,obsr654934,URN:CornellLabOfOrnithology:EBIRD:OBS741951478
Spotted x Eastern Towhee (hybrid),38.8438525,-97.5867891,US-KS-169,4/10/19,4,US,Kansas,US-KS,Saline,"Lakewood Park, Salina",L1130910,obsr679843,URN:CornellLabOfOrnithology:EBIRD:OBS736544916
Spotted x Eastern Towhee (hybrid),41.855648,-87.8284149,US-IL-031,4/20/19,4,US,Illinois,US-IL,Cook,Miller Meadows Forest Preserve,L140218,obsr20623,URN:CornellLabOfOrnithology:EBIRD:OBS741821194
Spotted x Eastern Towhee (hybrid),39.945519,-97.106945,US-KS-201,4/21/19,4,US,Kansas,US-KS,Washington,"1479 26th Rd, Morrowville US-KS (39.9455,-97.1069)",L9089458,obsr417076,URN:CornellLabOfOrnithology:EBIRD:OBS742278393
Spotted x Eastern Towhee (hybrid),42.4958017,-96.3367081,US-IA-193,4/27/19,4,US,Iowa,US-IA,Woodbury,Bacon Creek Park,L1095492,obsr208629,URN:CornellLabOfOrnithology:EBIRD:OBS748700384
Spotted x Eastern Towhee (hybrid),40.839853,-96.94911,US-NE-159,4/28/19,4,US,Nebraska,US-NE,Seward,Twin Lakes WMA,L604321,obsr530166,URN:CornellLabOfOrnithology:EBIRD:OBS746448088
Spotted x Eastern Towhee (hybrid),40.8184272,-96.7015851,US-NE-109,4/30/19,4,US,Nebraska,US-NE,Lancaster,UNL City Campus,L4763044,obsr769704,URN:CornellLabOfOrnithology:EBIRD:OBS748061121
Spotted x Eastern Towhee (hybrid),33.5852884,-98.6406056,US-TX-009,4/5/20,4,US,Texas,US-TX,Archer,Carver Lake,L1529961,obsr18543,URN:CornellLabOfOrnithology:EBIRD:OBS889405887
Spotted x Eastern Towhee (hybrid),31.608715,-97.101094,US-TX-309,4/6/20,4,US,Texas,US-TX,McLennan,Development Blvd wetland,L10921604,obsr58722,URN:CornellLabOfOrnithology:EBIRD:OBS890109491
Spotted x Eastern Towhee (hybrid),42.4085771,-71.4724244,US-MA-017,4/16/20,4,US,Massachusetts,US-MA,Middlesex,Assabet River NWR,L207344,obsr953305,URN:CornellLabOfOrnithology:EBIRD:OBS896370445
Spotted x Eastern Towhee (hybrid),40.6327145,-98.9112854,US-NE-099,4/19/20,4,US,Nebraska,US-NE,Kearney,Harding home near V Rd. & 34th Rd.,L1954514,obsr375782,URN:CornellLabOfOrnithology:EBIRD:OBS899426092
Spotted x Eastern Towhee (hybrid),32.4523433,-99.7214315,US-TX-441,4/10/21,4,US,Texas,US-TX,Taylor,"Cedar Creek Trail, Abilene",L8599162,obsr160496,URN:CornellLabOfOrnithology:EBIRD:OBS1117435002
Spotted x Eastern Towhee (hybrid),41.1657252,-96.037645,US-NE-153,4/25/21,4,US,Nebraska,US-NE,Sarpy,Swanson Yard,L12654487,obsr436685,URN:CornellLabOfOrnithology:EBIRD:OBS1265905783
Spotted x Eastern Towhee (hybrid),42.8482603,-97.4840533,US-NE-027,4/28/21,4,US,Nebraska,US-NE,Cedar,Calumet Bluff Lookout,L1508612,obsr355251,URN:CornellLabOfOrnithology:EBIRD:OBS1134845667
Spotted x Eastern Towhee (hybrid),40.9150692,-73.3307362,US-NY-103,4/28/21,4,US,New York,US-NY,Suffolk,Fuchs Pond Preserve,L888883,obsr290998,URN:CornellLabOfOrnithology:EBIRD:OBS1134650743
Spotted x Eastern Towhee (hybrid),42.606396,-96.724231,US-NE-051,4/29/21,4,US,Nebraska,US-NE,Dixon,"Ponca State Park, Newcastle US-NE 42.60640, -96.72423",L14661536,obsr355251,URN:CornellLabOfOrnithology:EBIRD:OBS1135928164
Spotted x Eastern Towhee (hybrid),36.155136,-97.0772922,US-OK-119,4/5/22,4,US,Oklahoma,US-OK,Payne,Sanborn Lake,L274776,obsr284785,URN:CornellLabOfOrnithology:EBIRD:OBS1383583364
Spotted x Eastern Towhee (hybrid),37.0977878,-96.4940679,US-KS-019,4/19/22,4,US,Kansas,US-KS,Chautauqua,Hewins Park & Cedar Vale WTP,L2717951,obsr291728,URN:CornellLabOfOrnithology:EBIRD:OBS1397188573
Spotted x Eastern Towhee (hybrid),40.9797037,-96.9908237,US-NE-159,4/22/22,4,US,Nebraska,US-NE,Seward,Oak Glen WMA,L1300576,obsr2905687,URN:CornellLabOfOrnithology:EBIRD:OBS1400229889
Spotted x Eastern Towhee (hybrid),36.388761,-97.899415,US-OK-047,4/28/22,4,US,Oklahoma,US-OK,Garfield,Weldon Park,L12341897,obsr776932,URN:CornellLabOfOrnithology:EBIRD:OBS1407400618
Spotted x Eastern Towhee (hybrid),39.3878565,-94.8745823,US-MO-165,5/10/96,5,US,Missouri,US-MO,Platte,Weston Bend SP,L212048,obsr268012,URN:CornellLabOfOrnithology:EBIRD:OBS843154776
Spotted x Eastern Towhee (hybrid),40.1028264,-99.4520402,US-NE-083,5/5/09,5,US,Nebraska,US-NE,Harlan,Republican River--Hwy 89 crossing,L569401,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS69561012
Spotted x Eastern Towhee (hybrid),41.1927033,-99.7089958,US-NE-041,5/9/09,5,US,Nebraska,US-NE,Custer,Pressey WMA,L594796,obsr133016,URN:CornellLabOfOrnithology:EBIRD:OBS255558349
Spotted x Eastern Towhee (hybrid),41.7136578,-96.7013383,US-NE-053,5/3/10,5,US,Nebraska,US-NE,Dodge,Powder Horn WMA,L775245,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS91216878
Spotted x Eastern Towhee (hybrid),40.8380998,-102.7932358,US-CO-075,5/21/10,5,US,Colorado,US-CO,Logan,Tamarack Ranch SWA,L912017,obsr178480,URN:CornellLabOfOrnithology:EBIRD:OBS92753665
Spotted x Eastern Towhee (hybrid),40.4327585,-100.2406826,US-NE-063,5/25/10,5,US,Nebraska,US-NE,Frontier,Medicine Creek WMA,L914152,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS92904178
Spotted x Eastern Towhee (hybrid),41.144277,-98.5023451,US-NE-093,5/29/10,5,US,Nebraska,US-NE,Howard,Harold W. Andersen WMA,L717157,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS93077701
Spotted x Eastern Towhee (hybrid),42.9219891,-96.7758179,US-SD-127,5/8/11,5,US,South Dakota,US-SD,Union,Union Grove SP,L1147410,obsr166950,URN:CornellLabOfOrnithology:EBIRD:OBS117820022
Spotted x Eastern Towhee (hybrid),40.8399276,-99.9851381,US-NE-047,5/12/12,5,US,Nebraska,US-NE,Dawson,Cozad WMA,L1539225,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS152832140
Spotted x Eastern Towhee (hybrid),49.7404098,-98.3060561,CA-MB-NI,5/17/12,5,CA,Manitoba,CA-MB,Portage la Prairie Area,atlas square: 14NA51 - ,L1636931,obsr245296,URN:CornellLabOfOrnithology:EBIRD:OBS159523823
Spotted x Eastern Towhee (hybrid),49.8002145,-98.2661819,CA-MB-NI,5/24/12,5,CA,Manitoba,CA-MB,Portage la Prairie Area,Portage Sandhills,L1288793,obsr245296,URN:CornellLabOfOrnithology:EBIRD:OBS154300734
Spotted x Eastern Towhee (hybrid),41.8152216,-103.6839801,US-NE-157,5/26/12,5,US,Nebraska,US-NE,Scotts Bluff,Gering Cemetery,L1740109,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS154702606
Spotted x Eastern Towhee (hybrid),40.2453989,-99.6360612,US-NE-065,5/30/12,5,US,Nebraska,US-NE,Furnas,Oxford City Park,L569402,obsr28733,URN:CornellLabOfOrnithology:EBIRD:OBS154993630
Spotted x Eastern Towhee (hybrid),42.7393969,-96.9544814,US-SD-027,5/30/12,5,US,South Dakota,US-SD,Clay,Frost Wilderness Area,L1530753,obsr150509,URN:CornellLabOfOrnithology:EBIRD:OBS154945568
Spotted x Eastern Towhee (hybrid),39.4000043,-94.262683,US-MO-047,5/4/13,5,US,Missouri,US-MO,Clay,Watkins Mill SP,L351627,obsr162507,URN:CornellLabOfOrnithology:EBIRD:OBS194820666
Spotted x Eastern Towhee (hybrid),38.0729604,-103.0172539,US-CO-011,5/10/13,5,US,Colorado,US-CO,Bent,John Martin Reservoir,L109299,obsr234797,URN:CornellLabOfOrnithology:EBIRD:OBS195777633
Spotted x Eastern Towhee (hybrid),46.8639358,-96.9088473,US-ND-017,5/13/13,5,US,North Dakota,US-ND,Cass,Elmwood Park,L1773736,obsr132344,URN:CornellLabOfOrnithology:EBIRD:OBS196327970
