ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width
225556,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Brad Walker,5/23/2017,2017,5,23,615,United States,US-NE-019,Nebraska,Buffalo,Blue Hole WMA,40.6875209,-99.3833542,Adult Male – 1,Song,Used,NA,Collected,NA,NA,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),NA,S37092669,NA,NA,NA,,,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,3,4,NA,NA,NA
225569,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Brad Walker,5/29/2017,2017,5,29,902,United States,US-CO-087,Colorado,Morgan,Jean K Tool SWA,40.2853032,-103.6972878,Adult Male – 1,Call; Song,Used,NA,Collected,NA,NA,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),NA,S37237323,NA,NA,NA,,,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,3,4,NA,NA,NA
225572,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Brad Walker,5/29/2017,2017,5,29,1456,United States,US-CO-087,Colorado,Morgan,Brush SWA,40.305096,-103.622398,Adult Male – 1,Call; Song,Not Used,NA,Collected,NA,NA,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),NA,S37246027,NA,NA,NA,"The bird's mate can be heard in the background. She was also collected, but the recordings were not good enough to get their own record.",,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,3,4,NA,NA,NA
225576,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Brad Walker,5/31/2017,2017,5,31,1309,United States,US-CO-121,Colorado,Washington,Prewitt Reservoir SWA (Washington Co),40.4146305,-103.3787003,Adult Male – 1,Call; Song,Not Used,NA,Collected,NA,NA,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),NA,S37293740,NA,NA,NA,,,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,4,5,NA,NA,NA
62893271,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Damon Haan,7/1/2017,2017,7,1,836,United States,US-IA-119,Iowa,Lyon,Gitchie Manitou State Preserve,43.4995048,-96.5934303,Adult Male,Song,Unspecified,NA,,NA,NA,,,,NA,S37902954,NA,NA,NA,,"Sounded like a spotted towhee, but it's appearance didn't convince me it was fully an SPTO.  Also saw a previous report of a hybrid in recent days.",Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,3,1,NA,NA,NA
67598691,Audio,Spotted/Eastern Towhee (Rufous-sided Towhee),Pipilo maculatus/erythrophthalmus,,Brad Walker,5/22/2017,2017,5,22,635,United States,US-NE-037,Nebraska,Colfax,Whitetail WMA,41.4069112,-97.082963,Adult,Song,Not Used,NA,,NA,NA,Marantz PMD 661,Sennheiser MKH 20,"Telinga 22"" Parabola",NA,S37064325,NA,NA,NA,,,Pipilo maculatus/erythrophthalmus,y00226,Slash,32749,NA,3,2,NA,NA,NA
67677611,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Brad Walker,5/26/2017,2017,5,26,634,United States,US-NE-111,Nebraska,Lincoln,Sutherland Reservoir,41.1021827,-101.1073152,Adult Male,Song,Not Used,NA,,NA,NA,Marantz PMD 661,Sennheiser MKH 20,"Telinga 22"" Parabola",NA,S37154115,NA,NA,NA,,White at primary base and extensive spotting on wings and scapulars. Adult male recorded,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,5,1,NA,NA,NA
67686671,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Brad Walker,5/28/2017,2017,5,28,705,United States,US-NE-111,Nebraska,Lincoln,Alberta's Farm,41.1522721,-101.0786907,Adult Male,Song,Not Used,NA,,NA,NA,Marantz PMD 661,Sennheiser MKH 20,"Telinga 22"" Parabola",NA,S37207023,NA,NA,NA,Spotting on back with white primary patch.,Spotting on back with white primary patch.,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,2,1,NA,NA,NA
88388061,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,William Marengo,6/16/2017,2017,6,16,0,United States,US-MN-027,Minnesota,Clay,Buffalo River SP,46.8657,-96.4676,,,Unspecified,NA,,NA,NA,iPhone,,,NA,S43325265,NA,NA,NA,,,Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,0,0,NA,NA,NA
104408311,Audio,Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,,Noah Kück,6/14/2018,2018,6,14,1317,United States,US-MN-027,Minnesota,Clay,Buffalo River SP,46.8657,-96.4676,Adult Male,Song,Not Used,NA,,NA,NA,Voice memo,iPhone 7,,NA,S46548196,NA,NA,NA,,"Appeared to look like a Spotted Towhee, however this individual sang the classic “drink your tea” song of an Eastern. Photos and audio taken.",Pipilo maculatus x erythrophthalmus,x00446,Hybrid,32748,NA,2,1,NA,NA,NA
