Recording_ID,bout_duration_ms,num_syllables,num_syllable_per_bout_duration_1_ms,largest_syllable_duration_ms,smallest_syllable_duration_ms,avg_syllable_duration_ms,num_unique_syllables,num_syllables_per_num_unique,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz
104408311,1038.730159,14,0.013477995,188.5714286,12.38095238,33.92290249,3,4.666666667,5415.789474,4335.087719,5845.614035,2020.175439,3868.421053,1934.210526,859.6491228,1123.684211
104692741,1194.920635,13,0.010879384,145.3968254,20.63492063,59.73137973,2,6.5,6450.674764,5078.54251,7264.035088,3051.754386,4255.263158,2535.964912,644.7368421,1415.11471
115241591,1333.015873,22,0.01650393,93.01587302,21.58730159,37.66233766,2,11,5878.827751,2985.326954,6705.263158,1762.280702,4985.964912,3481.578947,2535.964912,2936.483254
115241591,1163.809524,9,0.007733224,135.5555556,66.34920635,84.62081129,1,9,4866.569201,1905.555556,5200.877193,1676.315789,3567.54386,3567.54386,2020.175439,3003.996101
154234301,936.1904762,9,0.009613428,121.2698413,35.55555556,58.80070547,3,3,6127.387914,4245.711501,6963.157895,2450,4556.140351,2235.087719,1676.315789,1924.658869
154234301,973.3333333,11,0.01130137,101.9047619,14.28571429,46.26262626,2,5.5,4759.330144,4055.980861,4857.017544,3094.736842,1805.263158,1590.350877,343.8596491,746.3317384
154234301,885.0793651,8,0.009038737,141.9047619,29.52380952,71.66666667,2,4,6173.355263,4405.701754,6791.22807,2235.087719,4599.122807,2364.035088,1547.368421,1810.635965
165892761,1466.349206,14,0.009547521,92.6984127,39.68253968,70.54421769,2,7,4817.105263,3306.578947,5114.912281,2492.982456,2664.912281,2407.017544,945.6140351,1553.508772
225556,1539.047619,16,0.01039604,97.77777778,22.85714286,53.21428571,2,8,5958.442982,3212.938596,7865.789474,2492.982456,5415.789474,4298.245614,2063.157895,2788.486842
225569,1071.746032,15,0.013995853,76.19047619,12.38095238,33.48148148,2,7.5,4533.216374,3513.099415,4985.964912,2235.087719,2793.859649,1762.280702,644.7368421,1063.099415
225572,846.031746,13,0.015365854,91.11111111,17.77777778,31.18437118,2,6.5,4731.376518,2552.496626,4814.035088,1590.350877,3266.666667,2879.824561,1891.22807,2221.862348
225576,1318.730159,16,0.012132884,102.2222222,15.87301587,51.6468254,2,8,6640.789474,4145.120614,7521.929825,2879.824561,4685.087719,3008.77193,1762.280702,2538.651316
236017491,1059.365079,7,0.006607731,132.0634921,44.44444444,71.06575964,4,1.75,3960.526316,2683.333333,5071.929825,1805.263158,3309.649123,2364.035088,257.8947368,1320.175439
242433591,884.1269841,6,0.006786355,201.9047619,27.93650794,101.9047619,3,2,4190.789474,3130.555556,4685.087719,2364.035088,2364.035088,1848.245614,300.877193,1103.216374
284225301,916.1904762,11,0.012006237,85.07936508,21.26984127,47.01298701,2,5.5,6970.972887,4552.232855,8381.578947,3051.754386,5372.807018,3524.561404,1848.245614,2461.722488
333371791,1106.666667,20,0.018072289,118.4126984,9.523809524,25.25396825,4,5,4571.184211,3730.877193,5372.807018,2707.894737,2707.894737,1805.263158,300.877193,883.2894737
339273711,998.7301587,14,0.0140178,95.23809524,28.88888889,44.80725624,2,7,4989.035088,3478.508772,5458.77193,2321.052632,3180.701754,2922.807018,1117.54386,1553.508772
456940621,964.4444444,9,0.009331797,124.4444444,42.85714286,68.50088183,2,4.5,5148.34308,3309.649123,5759.649123,1848.245614,3954.385965,2106.140351,1332.45614,1881.676413
461508881,1520,17,0.011184211,92.38095238,27.3015873,59.23436041,2,8.5,6303.250774,4022.652219,8768.421053,2922.807018,5888.596491,3352.631579,1762.280702,2323.581011
466803501,971.7460317,12,0.012348906,102.5396825,28.25396825,48.51851852,2,6,4821.19883,3384.868421,4942.982456,2922.807018,2063.157895,1848.245614,988.5964912,1479.312865
567583611,1158.412698,16,0.013812003,85.71428571,10.47619048,26.96428571,2,8,5934.265351,4803.289474,6576.315789,3094.736842,3524.561404,1762.280702,816.6666667,1173.958333
592239321,1146.031746,8,0.006980609,241.5873016,52.06349206,98.17460317,3,2.666666667,5088.048246,2632.675439,5415.789474,1719.298246,3739.473684,2707.894737,2020.175439,2498.355263
596898561,1381.904762,13,0.009407305,288.5714286,23.49206349,67.81440781,5,2.6,4370.985155,2926.11336,5243.859649,2321.052632,2965.789474,2235.087719,472.8070175,1487.854251
597334041,1192.380952,11,0.00922524,184.7619048,23.17460317,63.29004329,2,5.5,4900,3782.45614,5286.842105,2965.789474,2364.035088,2364.035088,515.7894737,1160.526316
597334041,1030.15873,14,0.013590139,68.25396825,32.06349206,43.06122449,2,7,4678.947368,3908.333333,4985.964912,2063.157895,2965.789474,2149.122807,472.8070175,813.5964912
601329651,1126.984127,10,0.008873239,86.66666667,55.55555556,71.80952381,2,5,5153.596491,2682.105263,6318.421053,1977.192982,4384.210526,3223.684211,1332.45614,2514.473684
62893271,1458.412698,7,0.004799739,437.7777778,73.96825397,133.968254,2,3.5,3837.719298,2149.122807,3954.385965,1891.22807,2106.140351,1977.192982,945.6140351,1731.578947
67598691,951.125,9,0.009462479,113.1666667,32.95833333,67.73148148,2,4.5,5156.595192,3165.692008,5614.035088,2853.80117,2807.017544,2807.017544,701.754386,2037.68681
67677611,1348.888889,29,0.021499176,60.31746032,12.06349206,30.45429666,2,14.5,4923.714459,3654.990926,6361.403509,3008.77193,3395.614035,2578.947368,343.8596491,1311.705989
67686671,1454.541667,14,0.009625025,136.5,22.75,56.79166667,2,7,6081.871345,3565.580618,7204.678363,2900.584795,4350.877193,3321.637427,795.3216374,2563.074353
88388061,1029.84127,13,0.012623305,196.1904762,16.50793651,47.17948718,3,4.333333333,5491.835358,4255.263158,6060.526316,2106.140351,3997.368421,1977.192982,687.7192982,1279.554656
